ID,Asset,Log
1,Windows Server,"<Event xmlns=""http://schemas.microsoft.com/win/2004/08/events/event""><System><EventID>4625</EventID><TimeCreated SystemTime=""12:00:00Z""/></System><EventData><Data Name=""TargetUserName"">usr000</Data><Data Name=""FailureReason"">Unknown user name or bad password</Data><Data Name=""IpAddress"">203.0.113.0</Data></EventData></Event>"
2,Ubuntu SSH,May 09 12:04:00 ubuntu sshd[7672]: Failed password for usr001 from 203.0.113.11 port 48734 ssh2
3,macOS,2025-05-09 loginwindow[7211]: User login FAILED for user usr002 (UID 586)
4,Cisco ASA,"May 09 2025 12:12:00: %ASA-4-113015: AAA user authentication Rejected : user = usr003 , IP = 203.0.113.33"
5,Palo Alto GlobalProtect,"2025/05/09 12:16:00,001801000013,SYSTEM,gplogin,0,2025/05/09 12:16:00,203.0.113.44,10.0.0.1,Login,globalprotect,user=usr004,tunnel=yes,result=failure"
6,AWS CloudTrail,"{""eventTime"": ""2025-05-09T12:20:00Z"", ""eventName"": ""ConsoleLogin"", ""userIdentity"": {""type"": ""IAMUser"", ""userName"": ""usr005""}, ""sourceIPAddress"": ""203.0.113.55"", ""errorMessage"": ""Failed authentication"", ""responseElements"": {""ConsoleLogin"": ""Failure""}}"
7,Azure AD,"{""TimeGenerated"": ""2025-05-09T12:24:00Z"", ""UserPrincipalName"": ""usr006@example.com"", ""AppDisplayName"": ""Azure Portal"", ""Status"": {""value"": ""50074"", ""additionalDetails"": ""User account password was incorrect.""}, ""IPAddress"": ""203.0.113.66""}"
8,Google Workspace,timestamp=2025-05-09T12:28:00Z event=login login_type=authorized principal=usr007@example.com ip_address=203.0.113.77 outcome=FAILURE
9,Okta,"{""published"": ""2025-05-09T12:32:00Z"", ""eventType"": ""user.session.start"", ""outcome"": {""result"": ""FAILURE""}, ""actor"": {""displayName"": ""usr008""}, ""client"": {""ipAddress"": ""203.0.113.88""}}"
10,Salesforce,"""2025-05-09T12:36:00"",""usr009@example.com"",""Login"",""login.salesforce.com"",""Failed"",""203.0.113.99"",""OAuth"""
11,Office 365,"{""CreationTime"": ""2025-05-09T12:40:00"", ""Operation"": ""UserLoginFailed"", ""UserId"": ""usr010@example.com"", ""ClientIP"": ""203.0.113.110"", ""ResultStatus"": ""Failed""}"
12,PostgreSQL,"2025-05-09T12:44:00 UTC [8688]: [usr011]@hrdb FATAL:  password authentication failed for user ""usr011"""
13,MySQL,2025-05-09T12:48:00Z  124 Connect Access denied for user 'usr012'@'203.0.113.132' (using password: YES)
14,Apache HTTPD,"203.0.113.143 - usr013 [09/May/2025:12:52:00 +0000] ""POST /login HTTP/1.1"" 401 518 ""-"" ""Mozilla/5.0"""
15,SAP NetWeaver,9.May.2025 12:56:00 SAPR3 DEV100 0 USER_LOGON      usr014 203.0.113.154 FAILURE
16,Oracle Listener,9-MAY-2025 13:00:00 * (CONNECT_DATA=(SERVICE_NAME=prod)) (ADDRESS=(PROTOCOL=tcp)(HOST=203.0.113.165)(PORT=59546)) * establish * usr015 * rejected
17,Fortinet FortiGate,date=2025-05-09 time=13:04:00 device_id=FGT001 log_id=0100020001 type=event subtype=system level=error vd=root user=usr016 ui=ssh action=login status=failure srcip=203.0.113.176
18,Juniper SRX,2025-05-09 13:08:00 srx01 sshd[3973]: Failed password for usr017 from 203.0.113.187 port 42706 ssh2
19,F5 BIG-IP,"May 10 2025 13:12:00 bigip err tmm[5290]: 01490100:3: AUDIT - user usr018 (partition[Common]) from 203.0.113.198, Unsuccessful login."
20,GitHub,"{""@timestamp"": ""2025-05-09T13:16:00Z"", ""action"": ""user.login"", ""actor"": ""usr019"", ""result"": ""failure"", ""ip"": ""203.0.113.209""}"
21,Windows Server,"<Event xmlns=""http://schemas.microsoft.com/win/2004/08/events/event""><System><EventID>4625</EventID><TimeCreated SystemTime=""13:20:00Z""/></System><EventData><Data Name=""TargetUserName"">usr020</Data><Data Name=""FailureReason"">Unknown user name or bad password</Data><Data Name=""IpAddress"">203.0.113.220</Data></EventData></Event>"
22,Ubuntu SSH,May 09 13:24:00 ubuntu sshd[1267]: Failed password for usr021 from 203.0.113.231 port 46195 ssh2
23,macOS,2025-05-09 loginwindow[6955]: User login FAILED for user usr022 (UID 559)
24,Cisco ASA,"May 09 2025 13:32:00: %ASA-4-113015: AAA user authentication Rejected : user = usr023 , IP = 203.0.113.253"
25,Palo Alto GlobalProtect,"2025/05/09 13:36:00,001801000013,SYSTEM,gplogin,0,2025/05/09 13:36:00,203.0.113.9,10.0.0.1,Login,globalprotect,user=usr024,tunnel=yes,result=failure"
26,AWS CloudTrail,"{""eventTime"": ""2025-05-09T13:40:00Z"", ""eventName"": ""ConsoleLogin"", ""userIdentity"": {""type"": ""IAMUser"", ""userName"": ""usr025""}, ""sourceIPAddress"": ""203.0.113.20"", ""errorMessage"": ""Failed authentication"", ""responseElements"": {""ConsoleLogin"": ""Failure""}}"
27,Azure AD,"{""TimeGenerated"": ""2025-05-09T13:44:00Z"", ""UserPrincipalName"": ""usr026@example.com"", ""AppDisplayName"": ""Azure Portal"", ""Status"": {""value"": ""50074"", ""additionalDetails"": ""User account password was incorrect.""}, ""IPAddress"": ""203.0.113.31""}"
28,Google Workspace,timestamp=2025-05-09T13:48:00Z event=login login_type=authorized principal=usr027@example.com ip_address=203.0.113.42 outcome=FAILURE
29,Okta,"{""published"": ""2025-05-09T13:52:00Z"", ""eventType"": ""user.session.start"", ""outcome"": {""result"": ""FAILURE""}, ""actor"": {""displayName"": ""usr028""}, ""client"": {""ipAddress"": ""203.0.113.53""}}"
30,Salesforce,"""2025-05-09T13:56:00"",""usr029@example.com"",""Login"",""login.salesforce.com"",""Failed"",""203.0.113.64"",""OAuth"""
31,Office 365,"{""CreationTime"": ""2025-05-09T14:00:00"", ""Operation"": ""UserLoginFailed"", ""UserId"": ""usr030@example.com"", ""ClientIP"": ""203.0.113.75"", ""ResultStatus"": ""Failed""}"
32,PostgreSQL,"2025-05-09T14:04:00 UTC [2025]: [usr031]@hrdb FATAL:  password authentication failed for user ""usr031"""
33,MySQL,2025-05-09T14:08:00Z  111 Connect Access denied for user 'usr032'@'203.0.113.97' (using password: YES)
34,Apache HTTPD,"203.0.113.108 - usr033 [09/May/2025:14:12:00 +0000] ""POST /login HTTP/1.1"" 401 518 ""-"" ""Mozilla/5.0"""
35,SAP NetWeaver,9.May.2025 14:16:00 SAPR3 DEV100 0 USER_LOGON      usr034 203.0.113.119 FAILURE
36,Oracle Listener,9-MAY-2025 14:20:00 * (CONNECT_DATA=(SERVICE_NAME=prod)) (ADDRESS=(PROTOCOL=tcp)(HOST=203.0.113.130)(PORT=41082)) * establish * usr035 * rejected
